date,open,high,low,close,volume,t3_7_BBL_54_2.0,tema_54_BBU_54_2.0,$signals,@exit,£order_executed_1,order_1,£order_executed_2,order_2,£order_executed_3,order_3,£order_executed_4,order_4,£order_executed_5,order_5
1738366260,230.72,230.79,230.61,230.68,1007.1,229.74272506082752,231.48317451654907,False,False,False,,False,,False,,False,,False,
1738366320,230.68,230.76,230.54,230.59,2113.5,229.73932386432432,231.4752322295084,False,False,False,,False,,False,,False,,False,
1738366380,230.59,230.61,230.35,230.42,1400.5,229.7365583652819,231.463731281299,False,False,False,,False,,False,,False,,False,
1738366440,230.42,230.44,230.16,230.16,1658.1,229.7341248615843,231.44957069942348,False,False,False,,False,,False,,False,,False,
1738366500,230.16,230.35,230.11,230.22,2040.2,229.73114088002933,231.43437112046715,False,False,False,,False,,False,,False,,False,
1738366560,230.22,230.35,230.11,230.25,1416.0,229.72733486619472,231.4164556463656,False,False,False,,False,,False,,False,,False,
1738366620,230.25,230.59,230.25,230.58,411.4,229.7240374811281,231.39325739421847,False,False,False,,False,,False,,False,,False,
1738366680,230.58,230.65,230.47,230.55,2404.1,229.72348375304978,231.36441783917627,False,False,False,,False,,False,,False,,False,
1738366740,230.55,230.69,230.49,230.69,772.2,229.7284253716084,231.32822988343472,False,False,False,,False,,False,,False,,False,
1738366800,230.69,230.91,230.65,230.82,2699.9,229.74066580425404,231.28651851917846,False,False,False,,False,,False,,False,,False,
1738366860,230.82,230.84,230.73,230.81,493.3,229.75893506924194,231.24544805985533,False,False,False,,False,,False,,False,,False,
1738366920,230.81,230.87,230.76,230.83,381.1,229.7802364396798,231.20825766241992,False,False,False,,False,,False,,False,,False,
1738366980,230.83,230.89,230.8,230.87,862.1,229.80169089220567,231.17452865256365,False,False,False,,False,,False,,False,,False,
1738367040,230.87,230.91,230.83,230.91,413.4,229.8211672471989,231.144129860981,False,False,False,,False,,False,,False,,False,
1738367100,230.91,230.91,230.74,230.77,549.1,229.83750270149994,231.1174399469455,False,False,False,,False,,False,,False,,False,
1738367160,230.77,230.83,230.72,230.83,196.3,229.8514706732766,231.09361768784132,False,False,False,,False,,False,,False,,False,
1738367220,230.83,231.12,230.78,230.99,994.5,229.8643446253053,231.07268685981433,False,False,False,,False,,False,,False,,False,
1738367280,230.99,231.2,230.96,231.19,834.1,229.8777237264918,231.0548207155271,False,False,False,,False,,False,,False,,False,
